Time,Mean Speed,Mean Volume,After,Frq Cong After,405es02744:_MN___1 good days,405es02744:_MN___2 good days,,,,Before,Time,Mean Speed,Mean Volume,Before,Frq Cong Before,405es02744:_MN___1 good days,405es02744:_MN___2 good days
7:20,54.40598836,239.3837209,1436.302326,1.162790698,86,86,,,,,7:20:00,53.96304633,238.1704545,1429.022727,0,88,88
7:25,53.26052101,244.4418605,1466.651163,0,86,86,,,,,7:25:00,54.69505809,242.2386364,1453.431818,0,88,88
7:30,52.65420931,246.1046512,1476.627907,1.162790698,86,86,,,,,7:30:00,53.821572,244.8522727,1469.113636,1.136363636,88,88
7:35,52.20200674,259.2674419,1555.604651,1.162790698,86,86,,,,,7:35:00,52.08219954,259.3977273,1556.386364,0,88,88
7:40,51.7941012,268.9186047,1613.511628,1.162790698,86,86,,,,,7:40:00,52.18164574,265.2159091,1591.295455,1.136363636,88,88
7:45,51.69930813,268.2093023,1609.255814,0,86,86,,,,,7:45:00,52.8434852,264.375,1586.25,0,88,88
7:50,52.94852264,247.5348837,1485.209302,2.325581395,86,86,,,,,7:50:00,54.71538543,243.4090909,1460.454545,1.136363636,88,88
7:55,54.11862426,239.6976744,1438.186047,1.162790698,86,86,,,,,7:55:00,56.57103589,228.2954545,1369.772727,0,88,88
8:00,54.51996303,228.8255814,1372.953488,1.162790698,86,86,,,,,8:00:00,56.46939349,227.7386364,1366.431818,0,88,88
8:05,54.64732981,231.5116279,1389.069767,1.162790698,86,86,,,,,8:05:00,56.11849871,234.1590909,1404.954545,0,88,88
8:10,55.47720958,233.127907,1398.767442,1.162790698,86,86,,,,,8:10:00,56.22670013,230.8295455,1384.977273,0,88,88
8:15,53.72721447,239.5465116,1437.27907,1.162790698,86,86,,,,,8:15:00,56.06706959,231.7840909,1390.704545,0,88,88
8:20,54.14653422,237.5232558,1425.139535,1.162790698,86,86,,,,,8:20:00,57.9422428,225.5454545,1353.272727,0,88,88
8:25,53.93963171,233.4651163,1400.790698,1.162790698,86,86,,,,,8:25:00,57.64354444,222.4545455,1334.727273,0,88,88
8:30,54.98730122,228.372093,1370.232558,1.162790698,86,86,,,,,8:30:00,58.45660257,220.6818182,1324.090909,0,88,88
8:35,54.97946319,232.1976744,1393.186047,1.162790698,86,86,,,,,8:35:00,57.31475518,229.6477273,1377.886364,0,88,88
8:40,53.0593591,237.0930233,1422.55814,1.162790698,86,86,,,,,8:40:00,56.06392504,236.4772727,1418.863636,0,88,88
8:45,53.70692158,240.6162791,1443.697674,1.162790698,86,86,,,,,8:45:00,57.14094087,230.9204545,1385.522727,0,88,88
8:50,55.2704767,230.9767442,1385.860465,1.162790698,86,86,,,,,8:50:00,58.22529012,219.5,1317,0,88,88
8:55,55.3401331,226.9651163,1361.790698,1.162790698,86,86,,,,,8:55:00,58.28539668,211.5909091,1269.545455,0,88,88
9:00,58.05698791,214.0465116,1284.27907,1.162790698,86,86,,,,,9:00:00,59.19817357,204.3181818,1225.909091,0,88,88
9:05,58.44505197,211.9186047,1271.511628,0,86,86,,,,,9:05:00,58.67496118,207.8181818,1246.909091,0,88,88
9:10,57.88609279,218.755814,1312.534884,0,86,86,,,,,9:10:00,58.18271272,210.1704545,1261.022727,0,88,88
9:15,57.15029731,220.5465116,1323.27907,0,86,86,,,,,9:15:00,58.56480614,214.6590909,1287.954545,0,88,88
9:20,55.54189157,226.4186047,1358.511628,0,86,86,,,,,9:20:00,57.80284247,215.6931818,1294.159091,0,88,88
9:25,52.9055937,231.1046512,1386.627907,1.162790698,86,86,,,,,9:25:00,56.5371906,218.4090909,1310.454545,1.136363636,88,88
9:30,54.44216238,226.8139535,1360.883721,0,86,86,,,,,9:30:00,56.22198067,219.4545455,1316.727273,0,88,88
9:35,52.26979921,238.5697674,1431.418605,1.162790698,86,86,,,,,9:35:00,55.69541072,224.4431818,1346.659091,0,88,88
9:40,53.48864835,234.8139535,1408.883721,2.325581395,86,86,,,,,9:40:00,55.63028571,231.1022727,1386.613636,0,88,88
9:45,52.21410278,238.627907,1431.767442,2.325581395,86,86,,,,,9:45:00,55.86128377,225.0340909,1350.204545,0,88,88
9:50,54.67206159,228.244186,1369.465116,2.325581395,86,86,,,,,9:50:00,56.69757564,219.7159091,1318.295455,0,88,88
9:55,54.03632376,224.0581395,1344.348837,1.162790698,86,86,,,,,9:55:00,58.65636658,208.1022727,1248.613636,0,88,88
10:00,55.6802649,220.3372093,1322.023256,0,86,86,,,,,10:00:00,58.42128973,207.8409091,1247.045455,0,88,88
10:05,55.30245474,221.1046512,1326.627907,0,86,86,,,,,10:05:00,58.25240085,209.7954545,1258.772727,0,88,88
10:10,54.55080979,226.4186047,1358.511628,1.162790698,86,86,,,,,10:10:00,57.83452874,215.1022727,1290.613636,0,88,88
10:15,51.71385148,236.2209302,1417.325581,2.325581395,86,86,,,,,10:15:00,56.77809458,217.6363636,1305.818182,0,88,88
10:20,51.99053552,234.0697674,1404.418605,2.325581395,86,86,,,,,10:20:00,55.72362508,222.7386364,1336.431818,0,88,88
10:25,49.48965492,246.3837209,1478.302326,2.325581395,86,86,,,,,10:25:00,55.50524318,224.0568182,1344.340909,0,88,88
10:30,50.38123664,243.5232558,1461.139535,2.325581395,86,86,,,,,10:30:00,56.31219155,224.9431818,1349.659091,0,88,88
10:35,49.30117744,249.5348837,1497.209302,5.813953488,86,86,,,,,10:35:00,54.62088451,233.3295455,1399.977273,0,88,88
