Time,Mean Speed,Mean Volume,After,% Congested (19%),405es02616:_MS___1 good days,405es02616:_MS___2 good days,,,,,Time,Mean Speed,Mean Volume,Before,Before % Congested (19%),405es02616:_MS___1 good days,405es02616:_MS___2 good days
3:45:00,60,52.20930233,313.255814,0,86,86,,,,,3:45:00,60,44.98863636,269.9318182,0,88,88
3:50:00,60,50.37209302,302.2325581,0,86,86,,,,,3:50:00,60,42.5,255,0,88,88
3:55:00,60,48.61627907,291.6976744,0,86,86,,,,,3:55:00,60,42.95454545,257.7272727,0,88,88
4:00:00,60,49.18604651,295.1162791,0,86,86,,,,,4:00:00,60,44.89772727,269.3863636,0,88,88
4:05:00,60,56.53488372,339.2093023,0,86,86,,,,,4:05:00,60,57.63636364,345.8181818,0,88,88
4:10:00,60,66.15116279,396.9069767,0,86,86,,,,,4:10:00,60,64.92045455,389.5227273,0,88,88
4:15:00,60,78.48837209,470.9302326,0,86,86,,,,,4:15:00,60,70.39772727,422.3863636,0,88,88
4:20:00,60,94,564,0,86,86,,,,,4:20:00,60,80.86363636,485.1818182,0,88,88
4:25:00,60,106.4883721,638.9302326,0,86,86,,,,,4:25:00,60,89.09090909,534.5454545,0,88,88
4:30:00,60,120.0813953,720.4883721,0,86,86,,,,,4:30:00,60,107.375,644.25,0,88,88
4:35:00,60,128.8604651,773.1627907,0,86,86,,,,,4:35:00,60,121.0795455,726.4772727,0,88,88
4:40:00,60,147.1162791,882.6976744,0,86,86,,,,,4:40:00,60,132.0795455,792.4772727,0,88,88
4:45:00,60,155.9418605,935.6511628,0,86,86,,,,,4:45:00,60,131.9772727,791.8636364,0,88,88
4:50:00,60,154.5930233,927.5581395,0,86,86,,,,,4:50:00,60,128.5454545,771.2727273,0,88,88
4:55:00,60,141.1744186,847.0465116,0,86,86,,,,,4:55:00,60,127.5340909,765.2045455,0,88,88
5:00:00,60,150.0232558,900.1395349,0,86,86,,,,,5:00:00,60,146.7840909,880.7045455,0,88,88
5:05:00,60,169.8604651,1019.162791,0,86,86,,,,,5:05:00,60,170.7159091,1024.295455,0,88,88
5:10:00,60,208.8255814,1252.953488,0,86,86,,,,,5:10:00,60,200.5909091,1203.545455,0,88,88
5:15:00,60,238.5348837,1431.209302,0,86,86,,,,,5:15:00,60,227.5113636,1365.068182,0,88,88
5:20:00,60,253.9534884,1523.72093,0,86,86,,,,,5:20:00,60,247.6136364,1485.681818,0,88,88
5:25:00,59.74886317,279.9302326,1679.581395,0,86,86,,,,,5:25:00,59.77027039,279.3636364,1676.181818,0,88,88
5:30:00,57.80359743,305.4418605,1832.651163,2.325581395,86,86,,,,,5:30:00,57.89318305,303.7613636,1822.568182,3.409090909,88,88
5:35:00,53.72444863,312.4302326,1874.581395,13.95348837,86,86,,,,,5:35:00,54.93004011,315.6590909,1893.954545,11.36363636,88,88
5:40:00,52.11643204,304.755814,1828.534884,16.27906977,86,86,,,,,5:40:00,49.45810451,310.0340909,1860.204545,30.68181818,88,88
5:45:00,50.76960958,292.3488372,1754.093023,17.44186047,86,86,,,,,5:45:00,48.84745324,299.9204545,1799.522727,26.13636364,88,88
5:50:00,51.29040276,288.9302326,1733.581395,11.62790698,86,86,,,,,5:50:00,47.16663251,290.9204545,1745.522727,29.54545455,88,88
5:55:00,50.86727414,280.6860465,1684.116279,11.62790698,86,86,,,,,5:55:00,47.01947212,284.4318182,1706.590909,27.27272727,88,88
6:00:00,51.75809226,281.9186047,1691.511628,10.46511628,86,86,,,,,6:00:00,46.37047046,280.9659091,1685.795455,22.72727273,88,88
6:05:00,50.7782244,285.0581395,1710.348837,8.139534884,86,86,,,,,6:05:00,43.73699717,270.2386364,1621.431818,30.68181818,88,88
6:10:00,49.34292479,278.1511628,1668.906977,10.46511628,86,86,,,,,6:10:00,43.55966915,268.1704545,1609.022727,29.54545455,88,88
6:15:00,46.48899575,273.4302326,1640.581395,15.11627907,86,86,,,,,6:15:00,39.36217038,256.0909091,1536.545455,43.18181818,88,88
6:20:00,45.09723716,266.4651163,1598.790698,23.25581395,86,86,,,,,6:20:00,32.78943383,236.8977273,1421.386364,64.77272727,88,88
6:25:00,42.12717627,255.6744186,1534.046512,30.23255814,86,86,,,,,6:25:00,28.0792299,216.5113636,1299.068182,75,88,88
6:30:00,38.50144874,243.6860465,1462.116279,46.51162791,86,86,,,,,6:30:00,24.9256049,203.2386364,1219.431818,80.68181818,88,88
6:35:00,34.51045522,223.8953488,1343.372093,52.3255814,86,86,,,,,6:35:00,24.44864435,199.5,1197,80.68181818,88,88
6:40:00,32.14160701,216.2093023,1297.255814,62.79069767,86,86,,,,,6:40:00,24.68102033,197.7727273,1186.636364,79.54545455,88,88
6:45:00,30.86181644,207.4883721,1244.930233,65.11627907,86,86,,,,,6:45:00,23.58083319,193.7272727,1162.363636,81.81818182,88,88
6:50:00,30.72936938,201.255814,1207.534884,65.11627907,86,86,,,,,6:50:00,23.68212871,191.2159091,1147.295455,79.54545455,88,88
6:55:00,31.88845386,208.7674419,1252.604651,63.95348837,86,86,,,,,6:55:00,23.16442349,189.8409091,1139.045455,82.95454545,88,88
7:00:00,32.40353101,209.9534884,1259.72093,62.79069767,86,86,,,,,7:00:00,24.53884118,187.4431818,1124.659091,77.27272727,88,88
7:05:00,29.10624258,204.6976744,1228.186047,69.76744186,86,86,,,,,7:05:00,27.07208297,192.0454545,1152.272727,71.59090909,88,88
7:10:00,29.52802074,207.244186,1243.465116,70.93023256,86,86,,,,,7:10:00,26.3005622,186.7727273,1120.636364,72.72727273,88,88
7:15:00,29.26929439,204.5348837,1227.209302,70.93023256,86,86,,,,,7:15:00,26.84597877,186.25,1117.5,69.31818182,88,88
7:20:00,28.62272264,201.8372093,1211.023256,70.93023256,86,86,,,,,7:20:00,26.44159679,173.9545455,1043.727273,68.18181818,88,88
7:25:00,27.63688464,197.9883721,1187.930233,74.41860465,86,86,,,,,7:25:00,26.52320368,169.8863636,1019.318182,65.90909091,88,88
7:30:00,27.69652933,200.0581395,1200.348837,73.25581395,86,86,,,,,7:30:00,27.26435484,170.125,1020.75,65.90909091,88,88
7:35:00,26.91952981,196.2325581,1177.395349,73.25581395,86,86,,,,,7:35:00,27.72254975,162.8522727,977.1136364,63.63636364,88,88
7:40:00,26.32300684,192.4534884,1154.72093,74.41860465,86,86,,1622.8125,,,7:40:00,28.03817297,162.6363636,975.8181818,63.63636364,88,88
7:45:00,27.18184225,193.6860465,1162.116279,72.09302326,86,86,,,,,7:45:00,30.39513576,170.2954545,1021.772727,55.68181818,88,88
7:50:00,28.14537481,201.5930233,1209.55814,68.60465116,86,86,,,,,7:50:00,30.30366509,168.4886364,1010.931818,56.81818182,88,88
7:55:00,31.56721034,203.8488372,1223.093023,61.62790698,86,86,,,,,7:55:00,30.39852424,167.7840909,1006.704545,59.09090909,88,88
8:00:00,32.96836555,208.2790698,1249.674419,58.13953488,86,86,,,,,8:00:00,32.29502123,172.7727273,1036.636364,55.68181818,88,88
8:05:00,34.21110142,212,1272,53.48837209,86,86,,,,,8:05:00,34.28576326,180.375,1082.25,50,88,88
8:10:00,34.63278482,219.8255814,1318.953488,55.81395349,86,86,,,,,8:10:00,36.2943079,186.8977273,1121.386364,47.72727273,88,88
8:15:00,35.5605157,220.1395349,1320.837209,52.3255814,86,86,,,,,8:15:00,37.04071951,187.7954545,1126.772727,42.04545455,88,88
8:20:00,35.07137122,224.8023256,1348.813953,56.97674419,86,86,,,,,8:20:00,35.36036247,186.5340909,1119.204545,47.72727273,88,88
8:25:00,34.264249,220.3139535,1321.883721,51.1627907,86,86,,,,,8:25:00,34.93563004,181.4659091,1088.795455,48.86363636,88,88
8:30:00,34.61842889,221.4534884,1328.72093,54.65116279,86,86,,,,,8:30:00,37.24618624,190.7613636,1144.568182,46.59090909,88,88
8:35:00,38.08408809,231.1395349,1386.837209,41.86046512,86,86,,,,,8:35:00,38.43742207,191.7727273,1150.636364,42.04545455,88,88
8:40:00,40.72773793,236.7790698,1420.674419,34.88372093,86,86,,,,,8:40:00,39.62832721,190.7840909,1144.704545,40.90909091,88,88
8:45:00,40.39740821,229.8488372,1379.093023,41.86046512,86,86,,,,,8:45:00,40.20244984,197.6818182,1186.090909,38.63636364,88,88
8:50:00,41.63004976,229.2906977,1375.744186,37.20930233,86,86,,,,,8:50:00,39.41953152,193.375,1160.25,39.77272727,88,88
8:55:00,42.81751092,224.7790698,1348.674419,33.72093023,86,86,,,,,8:55:00,38.65621745,196.8295455,1180.977273,43.18181818,88,88
9:00:00,44.39125147,230.6744186,1384.046512,27.90697674,86,86,,,,,9:00:00,42.39097796,197.75,1186.5,32.95454545,88,88
9:05:00,45.01330365,233.1162791,1398.697674,30.23255814,86,86,,,,,9:05:00,44.07276015,212.8636364,1277.181818,29.54545455,88,88
9:10:00,46.70380846,246.1860465,1477.116279,24.41860465,86,86,,,,,9:10:00,44.10892707,218.3522727,1310.113636,30.68181818,88,88
9:15:00,46.35624152,248.6511628,1491.906977,22.09302326,86,86,,,,,9:15:00,45.72455853,229.0340909,1374.204545,27.27272727,88,88
9:20:00,45.95120352,255.6744186,1534.046512,22.09302326,86,86,,,,,9:20:00,45.64006215,233.4204545,1400.522727,29.54545455,88,88
9:25:00,47.00609555,258.4883721,1550.930233,22.09302326,86,86,,,,,9:25:00,45.97202019,237.9545455,1427.727273,28.40909091,88,88
9:30:00,46.57052836,258.1395349,1548.837209,25.58139535,86,86,,,,,9:30:00,45.83733582,236.8863636,1421.318182,29.54545455,88,88
9:35:00,45.24362987,262.7674419,1576.604651,23.25581395,86,86,,,,,9:35:00,47.48970663,234.8977273,1409.386364,25,88,88
9:40:00,45.64223378,258.2790698,1549.674419,24.41860465,86,86,,,,,9:40:00,49.58733085,243.125,1458.75,20.45454545,88,88
9:45:00,46.58613092,262.1627907,1572.976744,23.25581395,86,86,,,,,9:45:00,49.91248883,240.9431818,1445.659091,18.18181818,88,88
9:50:00,48.45632629,259.0465116,1554.27907,19.76744186,86,86,,,,,9:50:00,50.34249013,241.5568182,1449.340909,19.31818182,88,88
9:55:00,49.80103992,252.4069767,1514.44186,15.11627907,86,86,,,,,9:55:00,53.19321407,240.5681818,1443.409091,13.63636364,88,88
10:00:00,52.03168755,258.9883721,1553.930233,6.976744186,86,86,,,,,10:00:00,52.98971451,238.875,1433.25,14.77272727,88,88
10:05:00,52.73369916,261.9534884,1571.72093,6.976744186,86,86,,,,,10:05:00,54.20295195,252.4772727,1514.863636,12.5,88,88
10:10:00,53.27620973,272.6976744,1636.186047,8.139534884,86,86,,,,,10:10:00,55.3175519,258.0909091,1548.545455,9.090909091,88,88
10:15:00,53.27075826,277.1860465,1663.116279,8.139534884,86,86,,,,,10:15:00,56.53124333,267.5113636,1605.068182,5.681818182,88,88
10:20:00,52.1625734,276.627907,1659.767442,10.46511628,86,86,,,,,10:20:00,56.99411382,269.5568182,1617.340909,3.409090909,88,88
10:25:00,52.08346162,281.4883721,1688.930233,8.139534884,86,86,,,,,10:25:00,57.01441133,274.3522727,1646.113636,4.545454545,88,88
10:30:00,51.10206896,280.0232558,1680.139535,9.302325581,86,86,,,,,10:30:00,56.20356875,278.2386364,1669.431818,6.818181818,88,88
10:35:00,51.06722865,282.5348837,1695.209302,6.976744186,86,86,,,,,10:35:00,56.5837653,279.8068182,1678.840909,3.409090909,88,88
10:40:00,51.41239395,282.2674419,1693.604651,6.976744186,86,86,,,,,10:40:00,57.13474393,282.2613636,1693.568182,1.136363636,88,88
10:45:00,51.04774078,277.627907,1665.767442,11.62790698,86,86,,,,,10:45:00,57.64664915,274.1931818,1645.159091,2.272727273,88,88
10:50:00,51.7593631,278.744186,1672.465116,10.46511628,86,86,,,,,10:50:00,58.9591894,269.8977273,1619.386364,1.136363636,88,88
10:55:00,53.00846328,263.8953488,1583.372093,5.813953488,86,86,,,,,10:55:00,59.07946565,257.3522727,1544.113636,0,88,88
11:00:00,54.0321554,265.0232558,1590.139535,5.813953488,86,86,,,,,11:00:00,59.44993279,255.625,1533.75,0,88,88
11:05:00,54.37620812,268.3139535,1609.883721,8.139534884,86,86,,,,,11:05:00,59.11661263,262.1590909,1572.954545,0,88,88
11:10:00,54.67857664,268.1627907,1608.976744,3.488372093,86,86,,,,,11:10:00,59.46313989,263.9090909,1583.454545,0,88,88
11:15:00,54.93305947,279.0813953,1674.488372,3.488372093,86,86,,,,,11:15:00,59.05833934,269.5340909,1617.204545,1.136363636,88,88
11:20:00,55.27278012,275.2209302,1651.325581,4.651162791,86,86,,,,,11:20:00,58.88260281,268.0681818,1608.409091,2.272727273,88,88
11:25:00,54.81185666,274.0697674,1644.418605,8.139534884,86,86,,,,,11:25:00,59.19373327,266.7727273,1600.636364,2.272727273,88,88
11:30:00,55.02814017,281.4302326,1688.581395,5.813953488,86,86,,,,,11:30:00,59.44359174,269.3522727,1616.113636,0,88,88
11:35:00,54.03862301,280.9883721,1685.930233,4.651162791,86,86,,,,,11:35:00,59.15379849,277.2045455,1663.227273,0,88,88
11:40:00,54.5121096,285.4883721,1712.930233,5.813953488,86,86,,,,,11:40:00,59.14693558,277.6704545,1666.022727,1.136363636,88,88
11:45:00,54.27178271,279.9651163,1679.790698,4.651162791,86,86,,,,,11:45:00,59.3350248,274.2159091,1645.295455,0,88,88
11:50:00,55.70708104,270.8953488,1625.372093,0,86,86,,,,,11:50:00,59.72253942,271.2159091,1627.295455,0,88,88
11:55:00,55.66805216,272.4069767,1634.44186,8.139534884,86,86,,,,,11:55:00,59.62933843,263,1578,0,88,88
12:00:00,55.43912109,272.6395349,1635.837209,2.325581395,86,86,,,,,12:00:00,59.65292443,261.1818182,1567.090909,0,88,88
12:05:00,55.01132438,273.0348837,1638.209302,8.139534884,86,86,,,,,12:05:00,59.54189134,266.3181818,1597.909091,0,88,88
12:10:00,54.30870867,274.3604651,1646.162791,9.302325581,86,86,,,,,12:10:00,59.58290899,269.125,1614.75,0,88,88
12:15:00,55.10616794,276.5697674,1659.418605,4.651162791,86,86,,,,,12:15:00,59.28271485,274.3522727,1646.113636,1.136363636,88,88
12:20:00,54.4635924,282.744186,1696.465116,6.976744186,86,86,,,,,12:20:00,58.5504749,278.4659091,1670.795455,2.272727273,88,88
12:25:00,54.5756837,279.6162791,1677.697674,5.813953488,86,86,,,,,12:25:00,58.52992346,276.4090909,1658.454545,2.272727273,88,88
12:30:00,53.69398549,284.8255814,1708.953488,6.976744186,86,86,,,,,12:30:00,58.70522083,280.9772727,1685.863636,2.272727273,88,88
12:35:00,53.27906148,288.8139535,1732.883721,6.976744186,86,86,,,,,12:35:00,57.65700862,285.6136364,1713.681818,2.272727273,88,88
12:40:00,53.61440009,284.9883721,1709.930233,5.813953488,86,86,,,,,12:40:00,57.67782696,290.8977273,1745.386364,4.545454545,88,88
12:45:00,52.31011074,288.7093023,1732.255814,8.139534884,86,86,,,,,12:45:00,58.47869515,287.4431818,1724.659091,0,88,88
12:50:00,53.21482199,280.8488372,1685.093023,5.813953488,86,86,,,,,12:50:00,58.32489996,281.7386364,1690.431818,1.136363636,88,88
12:55:00,52.77853745,280.9534884,1685.72093,4.651162791,86,86,,,,,12:55:00,58.18462657,279.2840909,1675.704545,2.272727273,88,88
13:00:00,52.92309531,281.5232558,1689.139535,8.139534884,86,86,,,,,13:00:00,58.51807042,275.6931818,1654.159091,1.136363636,88,88
13:05:00,53.9296587,282.6511628,1695.906977,3.488372093,86,86,,,,,13:05:00,58.45521096,277.6704545,1666.022727,3.409090909,88,88
13:10:00,54.6215349,287.6046512,1725.627907,3.488372093,86,86,,,,,13:10:00,58.75052326,276.4090909,1658.454545,2.272727273,88,88
13:15:00,54.30646468,284.244186,1705.465116,4.651162791,86,86,,,,,13:15:00,58.64671323,281.7159091,1690.295455,1.136363636,88,88
13:20:00,54.01419285,284.9302326,1709.581395,6.976744186,86,86,,,,,13:20:00,58.11582939,283.1931818,1699.159091,3.409090909,88,88
13:25:00,53.34003949,280.0465116,1680.27907,8.139534884,86,86,,,,,13:25:00,58.91640647,282.3409091,1694.045455,1.136363636,88,88
13:30:00,52.3081255,282.872093,1697.232558,11.62790698,86,86,,,,,13:30:00,58.56977516,287.0227273,1722.136364,1.136363636,88,88
13:35:00,51.69208688,289.8372093,1739.023256,11.62790698,86,86,,,,,13:35:00,57.36160822,293.1931818,1759.159091,3.409090909,88,88
13:40:00,52.24449266,289.0465116,1734.27907,12.79069767,86,86,,,,,13:40:00,57.25462985,295,1770,2.272727273,88,88
13:45:00,52.86633172,288.6511628,1731.906977,9.302325581,86,86,,,,,13:45:00,56.66864561,292.125,1752.75,9.090909091,88,88
13:50:00,53.14558476,290.0697674,1740.418605,9.302325581,86,86,,,,,13:50:00,55.88772001,286.2386364,1717.431818,9.090909091,88,88
13:55:00,53.37813508,279.7209302,1678.325581,10.46511628,86,86,,,,,13:55:00,57.25801614,282.6818182,1696.090909,4.545454545,88,88
14:00:00,53.10928983,281.7790698,1690.674419,11.62790698,86,86,,,,,14:00:00,57.47667148,278.9886364,1673.931818,2.272727273,88,88
14:05:00,53.35842058,282.5930233,1695.55814,11.62790698,86,86,,,,,14:05:00,58.07589182,286.1022727,1716.613636,2.272727273,88,88
14:10:00,54.09876181,289.3139535,1735.883721,6.976744186,86,86,,,,,14:10:00,57.69064192,292.7840909,1756.704545,1.136363636,88,88
14:15:00,52.88303149,295.1046512,1770.627907,13.95348837,86,86,,,,,14:15:00,57.35505754,298.625,1791.75,0,88,88
14:20:00,51.8374378,293.6627907,1761.976744,12.79069767,86,86,,,,,14:20:00,55.93856713,302.0113636,1812.068182,4.545454545,88,88
14:25:00,50.62677058,288.872093,1733.232558,15.11627907,86,86,,,,,14:25:00,55.69567232,297,1782,7.954545455,88,88
14:30:00,50.70065778,289.7906977,1738.744186,12.79069767,86,86,,,,,14:30:00,55.91569458,298.6931818,1792.159091,5.681818182,88,88
14:35:00,49.98582694,292.7906977,1756.744186,15.11627907,86,86,,,,,14:35:00,55.46839025,301.6818182,1810.090909,7.954545455,88,88
14:40:00,48.38165674,295.3255814,1771.953488,16.27906977,86,86,,,,,14:40:00,53.84783065,302.2386364,1813.431818,10.22727273,88,88
14:45:00,47.56108035,290.3604651,1742.162791,17.44186047,86,86,,,,,14:45:00,53.0131695,296.0227273,1776.136364,10.22727273,88,88
14:50:00,45.75489761,286.7209302,1720.325581,29.06976744,86,86,,,,,14:50:00,54.09780085,292.4545455,1754.727273,9.090909091,88,88
14:55:00,47.31207406,283.255814,1699.534884,22.09302326,86,86,,,,,14:55:00,53.89016839,286.9090909,1721.454545,13.63636364,88,88
15:00:00,48.94406109,282.6627907,1695.976744,22.09302326,86,86,,,,,15:00:00,54.02024495,289.0795455,1734.477273,9.090909091,88,88
15:05:00,49.3180963,287.0465116,1722.27907,23.25581395,86,86,,,,,15:05:00,54.52993378,295.8863636,1775.318182,10.22727273,88,88
15:10:00,49.42696249,291.1860465,1747.116279,22.09302326,86,86,,,,,15:10:00,53.52674291,300.2386364,1801.431818,13.63636364,88,88
15:15:00,48.84209058,290.6744186,1744.046512,19.76744186,86,86,,,,,15:15:00,52.6111574,296.4772727,1778.863636,13.63636364,88,88
15:20:00,46.99625429,284.1627907,1704.976744,19.76744186,86,86,,,,,15:20:00,52.57029288,288.5568182,1731.340909,14.77272727,88,88
15:25:00,47.06791274,281.3372093,1688.023256,25.58139535,86,86,,,,,15:25:00,53.58053143,287.7840909,1726.704545,13.63636364,88,88
15:30:00,48.66246398,283.9651163,1703.790698,16.27906977,86,86,,,,,15:30:00,53.74041399,287.7613636,1726.568182,15.90909091,88,88
15:35:00,47.79669885,284.6860465,1708.116279,15.11627907,86,86,,,,,15:35:00,53.96804187,297.6477273,1785.886364,4.545454545,88,88
15:40:00,47.07016987,284.4534884,1706.72093,24.41860465,86,86,,,,,15:40:00,52.45652582,292.5454545,1755.272727,14.77272727,88,88
15:45:00,46.08387847,282.2906977,1693.744186,24.41860465,86,86,,,,,15:45:00,52.79834087,289.7159091,1738.295455,15.90909091,88,88
15:50:00,45.83101729,276.2790698,1657.674419,32.55813953,86,86,,,,,15:50:00,51.85903302,286.2045455,1717.227273,17.04545455,88,88
15:55:00,47.2095363,276.5465116,1659.27907,20.93023256,86,86,,,,,15:55:00,51.6801581,279.2727273,1675.636364,19.31818182,88,88
16:00:00,49.43031451,277.4302326,1664.581395,16.27906977,86,86,,,,,16:00:00,52.63162751,282.2386364,1693.431818,12.5,88,88
16:05:00,50.04552884,280.3488372,1682.093023,18.60465116,86,86,,,,,16:05:00,52.85901601,284.4545455,1706.727273,15.90909091,88,88
16:10:00,49.79091291,279.372093,1676.232558,19.76744186,86,86,,,,,16:10:00,51.76015412,285.2840909,1711.704545,14.77272727,88,88
16:15:00,48.91490445,284.2325581,1705.395349,17.44186047,86,86,,,,,16:15:00,51.85557055,285.8409091,1715.045455,17.04545455,88,88
16:20:00,47.13790519,278.872093,1673.232558,19.76744186,86,86,,,,,16:20:00,50.64308817,285.9431818,1715.659091,20.45454545,88,88
16:25:00,47.81095612,275.6627907,1653.976744,18.60465116,86,86,,,,,16:25:00,50.5283542,281.9772727,1691.863636,20.45454545,88,88
16:30:00,47.95960469,279.4534884,1676.72093,19.76744186,86,86,,,,,16:30:00,51.47879461,281.6818182,1690.090909,19.31818182,88,88
16:35:00,48.01987928,278.2790698,1669.674419,22.09302326,86,86,,,,,16:35:00,52.06386222,284.3068182,1705.840909,14.77272727,88,88
